X;run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
404;404;2900;0,0000;0,01625000000000000;0,01625000000000000;0,2247368421052630;0,1446521800754110;0,1;1;10;1;0;0,2;1,0;10;25;250;200;0,1000000000000000;0,01
407;407;2400;1,0000;0,97090909090909105;0,02909090909090920;0,7263888888888890;0,2516931553388860;0,1;1;10;1;0;0,2;1,0;10;25;450;200;0,0555555555555556;0,01
410;410;NA;0,2990;NA;0,00000000000000000;0,3529411764705880;0,0645304305780477;0,1;1;10;1;0;0,2;1,0;10;30;100;200;0,3000000000000000;0,01
413;413;NA;0,5320;NA;0,00000000000000000;0,4142156862745100;0,0886361808124629;0,1;1;10;1;0;0,2;1,0;10;30;150;200;0,2000000000000000;0,01
416;416;NA;0,5315;NA;0,00000000000000000;0,3742156862745100;0,1315042681779550;0,1;1;10;1;0;0,2;1,0;10;30;250;200;0,1200000000000000;0,01
419;419;2700;1,0000;0,98456521739130398;0,01543478260869570;0,7788235294117650;0,2676613312290260;0,1;1;10;1;0;0,2;1,0;10;30;450;200;0,0666666666666667;0,01
422;422;NA;0,5670;NA;0,00000000000000000;0,6852941176470591;0,1001369650264370;0,1;1;10;1;0;0,2;1,0;10;40;100;200;0,4000000000000000;0,01
425;425;NA;0,6900;NA;0,00000000000000000;0,5241176470588240;0,1001284469187100;0,1;1;10;1;0;0,2;1,0;10;40;150;200;0,2666666666666667;0,01
428;428;NA;0,2890;NA;0,00000000000000000;0,2734313725490200;0,0755611685727426;0,1;1;10;1;0;0,2;1,0;10;40;250;200;0,1600000000000000;0,01
431;431;4700;1,0000;0,95999999999999996;0,04000000000000000;0,6769607843137260;0,1746169477209260;0,1;1;10;1;0;0,2;1,0;10;40;450;200;0,0888888888888889;0,01
434;434;500;0,0000;0,01500000000000000;0,01500000000000000;0,1142307692307690;0,1623633547767440;0,1;1;10;1;0;0,4;0,0;10;5;100;200;0,0500000000000000;0,01
437;437;500;0,0000;0,01062500000000000;0,01062500000000000;0,1035714285714290;0,1543899729136050;0,1;1;10;1;0;0,4;0,0;10;5;150;200;0,0333333333333333;0,01
440;440;500;0,0000;0,01100000000000000;0,01100000000000000;0,1154545454545450;0,1477913147897150;0,1;1;10;1;0;0,4;0,0;10;5;250;200;0,0200000000000000;0,01
443;443;500;0,0000;0,01166666666666670;0,01166666666666670;0,1433333333333330;0,1708252030585650;0,1;1;10;1;0;0,4;0,0;10;5;450;200;0,0111111111111111;0,01
446;446;1000;0,0000;0,01000000000000000;0,01000000000000000;0,1463157894736840;0,1757352973561150;0,1;1;10;1;0;0,4;0,0;10;10;100;200;0,1000000000000000;0,01
449;449;800;0,0000;0,01071428571428570;0,01071428571428570;0,1259375000000000;0,1465971662982160;0,1;1;10;1;0;0,4;0,0;10;10;150;200;0,0666666666666667;0,01
452;452;600;0,0000;0,00888888888888889;0,00888888888888889;0,1031250000000000;0,1515242004873590;0,1;1;10;1;0;0,4;0,0;10;10;250;200;0,0400000000000000;0,01
